,60/40,BTC,ETH,HFs,PE,RealEstate,Macro,SG CTA,Commodities,Gold
2014-12-10,263.08266479871395,350.42,34.425144770835054,1206.76,30.209226608276367,18.000051498413008,1026.725,2193.039,21.98356628417964,117.95999908447266
2014-12-11,263.70470916948614,350.33,34.41630320063537,1206.38,30.07401466369629,18.06240653991691,1026.725,2201.197,21.98356628417964,117.69000244140625
2014-12-12,262.00225642713986,356.43,35.01556518083654,1201.2,29.587196350097656,17.930767059326094,1026.725,2194.75,21.4595565795898,117.41000366210938
2014-12-15,260.54401323323816,348.15,34.20214072246511,1196.55,29.343793869018555,17.68134498596184,1026.725,2182.743,20.975469589233356,114.38999938964844
2014-12-16,259.83557577656813,333.36,32.7491760196495,1189.65,29.370845794677734,17.695198059081953,1026.725,2179.259,20.88613128662105,114.94999694824219
2014-12-17,262.1173922034826,321.05,31.539845695669758,1196.75,29.830612182617188,17.916906356811445,1026.725,2192.278,20.88613128662105,114.2699966430664
2014-12-18,265.4000783961864,311.39,30.590850494236424,1207.25,30.290382385253906,18.11783218383781,1026.725,2202.378,20.88613128662105,115.1500015258789
2014-12-19,266.4697310101415,314.26,30.87279834393763,1211.54,30.511859893798828,18.19129943847648,1026.725,2208.461,20.88613128662105,114.7699966430664
2014-12-22,267.21184903306516,329.54,32.373900484507125,1212.81,30.48417854309082,18.32423973083488,1026.725,2224.442,21.234981536865195,112.55000305175781
2014-12-23,266.5594104921614,334.99,32.90930667993276,1214.52,30.511859893798828,18.2892532348632,1026.725,2222.639,21.46454429626461,112.73999786376953
2014-12-24,266.6504253802982,321.87,31.620402224155818,1214.49,30.594934463500977,18.387205123901285,1026.725,2226.912,21.22370910644527,112.7699966430664
2014-12-25,266.6504253802982,319.4,31.377750242008783,1214.49,30.594934463500977,18.387205123901285,1026.725,2227.071,21.22370910644527,112.7699966430664
2014-12-26,267.3125582643859,329.49,32.36898850106285,1216.43,30.705686569213867,18.394197463989173,1026.725,2230.057,21.258831024169883,114.83000183105469
2014-12-29,267.8881844398897,314.25,30.87181594724878,1218.32,30.48417854309082,18.415193557739176,1026.725,2244.084,21.01297950744625,113.66999816894531
2014-12-30,267.1322423555406,310.17,30.470998098196198,1218.17,30.48417854309082,18.40119934082023,1026.725,2238.154,20.97283935546871,115.19999694824219
2014-12-31,265.63017071408615,317.36,31.17734131748249,1218.41,30.401111602783203,18.19129943847648,1020.893,2244.675,20.72296714782711,113.58000183105469
2015-01-01,265.63017071408615,314.49,30.895393467781286,1218.41,30.401111602783203,18.19129943847648,1020.893,2245.007,20.72296714782711,113.58000183105469
2015-01-02,266.08626763907546,314.73,30.918970988313795,1218.52,30.318056106567383,18.271760940551676,1020.893,2265.51,20.666776657104453,114.08000183105469
2015-01-05,263.8610075873729,270.93,26.616073491131623,1213.39,30.01349639892578,18.35222244262687,1020.893,2271.73,20.185100555419883,115.80000305175781
2015-01-06,263.1094459984797,286.41,28.136823565478203,1208.78,29.54279899597168,18.47116470336906,1020.893,2272.992,19.914161682128867,117.12000274658203
2015-01-07,265.02026529010806,296.13,29.09171314704465,1211.28,29.764301300048828,18.75103187561027,1020.893,2284.114,19.919178009033164,116.43000030517578
2015-01-08,267.3630218119211,293.83,28.865761908608146,1218.58,30.096542358398438,18.862977981567305,1020.893,2293.364,20.049633026123008,115.94000244140625
2015-01-09,266.6148331620909,289.81,28.470838439688684,1216.75,30.096542358398438,18.862977981567305,1020.893,2288.313,20.014513015747028,117.26000213623047
2015-01-12,265.7551099846025,270.65,26.588566383843695,1215.57,29.930421829223633,18.974929809570234,1020.893,2300.122,19.595052719116172,118.55999755859375
2015-01-13,265.4133576518098,236.05,23.189473840407555,1215.8,29.958118438720703,18.953927993774336,1020.893,2305.007,19.593053817748984,118.16000366210938
2015-01-14,264.96854309837653,183.07,17.984736182857066,1212.46,29.90274429321289,19.09387016296379,1020.893,2301.612,19.593053817748984,117.97000122070312
2015-01-15,264.47397787531713,206.68,20.30417476524225,1210.86,29.54279899597168,19.16383171081535,1020.893,2295.982,19.557924270629844,120.94000244140625
2015-01-16,265.68592766090734,208.34,20.467252615592077,1211.71,29.681238174438477,19.338748931884687,1020.893,2292.801,19.949283599853473,122.5199966430664
2015-01-19,265.68592766090734,216.21,21.24039880972047,1211.71,29.681238174438477,19.338748931884687,1020.893,2295.523,19.949283599853473,122.5199966430664
2015-01-20,266.27003624435025,211.18,20.74625327522672,1210.49,29.791994094848633,19.254787445068285,1020.893,2306.021,19.577991485595664,124.19999694824219
2015-01-21,266.5396972974944,225.1,22.11374946611201,1211.39,29.875049591064453,19.27577590942375,1020.893,2301.007,19.805788040161094,124.2300033569336
2015-01-22,268.6108708525432,231.92,22.783744007910695,1215.77,30.373432159423828,19.527656555175703,1020.893,2322.635,19.628164291381797,125.2300033569336
2015-01-23,268.44635572798245,237.01,23.28378392253757,1218.04,30.262685775756836,19.492679595947187,1020.893,2347.615,19.628164291381797,124.2300033569336
2015-01-26,268.5679526704598,271.61,26.682876465973713,1219.9,30.650314331054688,19.632606506347575,1020.893,2346.344,19.567958831787074,122.98999786376953
2015-01-27,266.6169323357096,261.76,25.71521572745215,1217.22,30.705686569213867,19.6004219055175,1020.893,2334.038,19.69339752197262,124.4000015258789
