Date,NVDA,MSFT,AAPL,AMZN,JPM,WMT,V,JNJ,PG,HD,KO,CSCO,IBM,CVX,UNH,CRM,DIS,AXP,MCD,GS,MRK,CAT,VZ,BA,AMGN,HON,NKE,SHW,MMM,TRV
2016-11-22,2.3031344413757324,55.1793098449707,25.822526931762695,39.26649856567383,61.985782623291016,19.991228103637695,75.36921691894531,89.09061431884766,65.38147735595703,106.13829803466797,31.388423919677734,22.858749389648438,106.88432312011719,77.01602172851562,133.16943359375,74.91356658935547,91.33092498779297,63.487457275390625,97.09453582763672,175.98182678222656,45.09797668457031,76.8051528930664,31.222322463989258,138.62644958496094,111.72686767578125,90.55502319335938,46.42485046386719,82.98841857910156,107.07624816894531,92.56887817382812
2016-11-23,2.3144643306732178,54.529300689697266,25.69087028503418,39.00600051879883,62.24627685546875,20.19365119934082,75.0297622680664,89.35137939453125,65.31829833984375,106.32466888427734,31.19874382019043,22.721094131469727,106.43091583251953,77.28057861328125,134.28897094726562,73.3076400756836,91.84501647949219,64.51432037353516,97.45958709716797,176.982177734375,45.05412292480469,78.90538024902344,31.689178466796875,138.83041381835938,112.26869201660156,91.60928344726562,46.09267044067383,84.10923767089844,107.28802490234375,93.12068176269531
2016-11-25,2.3191440105438232,54.646663665771484,25.820213317871094,39.01850128173828,62.222591400146484,20.30769157409668,75.55778503417969,90.18902587890625,65.93450164794922,106.61640930175781,31.50983428955078,23.01170539855957,107.19312286376953,77.28057861328125,133.6504364013672,73.08954620361328,92.36846160888672,64.49658966064453,97.88141632080078,176.20692443847656,45.47072982788086,78.60184478759766,31.966753005981445,139.1085662841797,112.57836151123047,91.88291931152344,46.254276275634766,84.89965057373047,108.06037902832031,93.43362426757812
2016-11-28,2.31791353225708,54.7188835144043,25.76940155029297,38.3385009765625,61.820037841796875,20.29629135131836,74.56771087646484,89.39878845214844,65.62638854980469,105.86276245117188,31.676748275756836,22.88169288635254,108.09989166259766,76.93245697021484,133.03822326660156,72.29649353027344,92.50865936279297,63.85038757324219,98.82245635986328,175.3482666015625,45.17106246948242,77.85526275634766,32.25066375732422,138.85826110839844,112.2996597290039,91.6253890991211,45.79640197753906,84.60633850097656,107.44376373291016,93.73011779785156
2016-11-29,2.2967312335968018,55.152244567871094,25.743989944458008,38.125999450683594,62.29365158081055,20.34760856628418,74.63372802734375,88.8851547241211,65.48419952392578,105.59390258789062,31.48546600341797,22.81287384033203,107.4493637084961,76.12483978271484,137.83114624023438,72.29649353027344,93.16297149658203,63.28386688232422,98.65892791748047,177.06251525878906,45.456111907958984,77.14972686767578,32.149723052978516,140.5919952392578,113.01957702636719,91.2149658203125,45.455238342285156,85.31648254394531,107.61192321777344,93.63955688476562
2016-11-30,2.270869731903076,54.402896881103516,25.526884078979492,37.528499603271484,63.280303955078125,20.079612731933594,72.90812683105469,87.95269012451172,65.14445495605469,105.41471862792969,30.87335968017578,22.805221557617188,106.58863830566406,77.67045593261719,139.0209503173828,71.37457275390625,92.64887237548828,63.77073669433594,97.50621795654297,183.3673553466797,44.725196838378906,78.3967056274414,31.480985641479492,139.59068298339844,111.52559661865234,91.69781494140625,44.95248031616211,82.9544677734375,106.97036743164062,93.35127258300781
2016-12-01,2.1585581302642822,53.44594192504883,25.288978576660156,37.182498931884766,64.55899810791016,20.14803695678711,71.12599182128906,88.01587677001953,64.67047882080078,105.47172546386719,30.735618591308594,22.522260665893555,105.01171112060547,78.87491607666016,141.32154846191406,67.86532592773438,92.48062133789062,64.20447540283203,96.8521957397461,189.5049285888672,44.410892486572266,78.95458984375,31.462059020996094,141.28733825683594,110.22504425048828,91.48052978515625,45.63726043701172,82.09298706054688,107.52470397949219,95.04783630371094
2016-12-02,2.17850923538208,53.491065979003906,25.383678436279297,37.016998291015625,64.4090347290039,20.20790672302246,71.39944458007812,88.4742202758789,65.0970687866211,105.79759216308594,30.88100242614746,22.369308471679688,105.1430892944336,78.67302703857422,141.13722229003906,67.81576538085938,92.06935119628906,63.61138153076172,96.6641616821289,186.77061462402344,44.68134307861328,78.05215454101562,31.424205780029297,141.1575469970703,111.4791030883789,90.49870300292969,45.466068267822266,81.83983612060547,107.40013885498047,95.2454833984375
2016-12-05,2.262988567352295,54.366790771484375,25.201202392578125,37.96799850463867,65.71930694580078,19.939912796020508,72.89871215820312,88.45841979980469,65.56320190429688,105.6427993774414,31.079944610595703,22.58344078063965,105.02483367919922,78.8470687866211,138.41510009765625,70.18499755859375,93.43404388427734,63.761898040771484,97.5225830078125,191.1103973388672,44.03812026977539,77.4860610961914,31.3863468170166,141.07411193847656,112.469970703125,90.84474182128906,46.718509674072266,82.25357055664062,106.89564514160156,95.4266586303711
2016-12-06,2.3001792430877686,54.123046875,25.39522361755371,38.236000061035156,66.05872344970703,20.059656143188477,72.71012115478516,88.55326080322266,65.4999771118164,104.8770523071289,31.041677474975586,22.430484771728516,105.35992431640625,78.50590515136719,138.14288330078125,70.0065689086914,94.08832550048828,64.00973510742188,97.4898681640625,193.47682189941406,44.060054779052734,78.1177749633789,31.771183013916016,141.14830017089844,112.3305892944336,90.99767303466797,45.565185546875,82.27210235595703,107.00775909423828,96.21728515625
2016-12-07,2.341557264328003,55.4050178527832,25.644672393798828,38.520999908447266,66.35867309570312,20.27214241027832,74.78459930419922,87.79461669921875,66.5032958984375,107.90753173828125,31.59259033203125,22.90464210510254,108.27729797363281,79.6755599975586,139.96934509277344,71.156494140625,95.33149719238281,65.76246643066406,98.03761291503906,196.97206115722656,43.899253845214844,79.84880065917969,32.41468811035156,142.9098358154297,109.2961196899414,93.76612091064453,46.943756103515625,83.29718780517578,109.65493774414062,97.73310852050781
2016-12-08,2.302396297454834,55.08000946044922,25.89642906188965,38.36650085449219,67.1874771118164,20.197479248046875,74.75629425048828,87.70769500732422,65.96610260009766,107.96454620361328,31.35538673400879,22.90464210510254,108.65182495117188,80.18380737304688,139.8990936279297,71.23578643798828,97.3754653930664,66.31130981445312,98.47090148925781,201.89720153808594,43.943111419677734,78.97920989990234,32.256961822509766,144.0687713623047,108.83163452148438,93.07400512695312,46.44819641113281,83.78502655029297,109.54900360107422,98.05614471435547
