,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2000-07-26,,,,,,4.86605958243857,105.48738,952.205206,,
2000-07-27,,,,,,4.920296880818052,105.48738,953.147889,,
2000-07-28,,,,,,4.919274355277736,105.48738,954.95887,,
2000-07-31,,,,,,4.885500790017577,104.73835,949.926236,,
2000-08-01,,,,,,4.988860555356128,104.73835,947.42793,,
2000-08-02,,,,,,4.998072414911287,104.73835,949.39858,,
2000-08-03,,,,,,4.961229384128323,104.73835,950.452414,,
2000-08-04,,,,,,4.883455424119971,104.73835,952.990121,,
2000-08-07,,,,,,4.883455424119971,104.73835,950.722005,,
2000-08-08,,,,,,4.891640665514118,104.73835,951.843857,,
2000-08-09,,,,,,4.895734230662123,104.73835,949.797393,,
2000-08-10,,,,,,4.920296880818053,104.73835,952.608793,,
2000-08-11,,,,,,4.928484011114061,104.73835,949.465184,,
2000-08-14,,,,,,4.940765336192025,104.73835,954.582802,,
2000-08-15,,,,,,4.9121094357050685,104.73835,947.261151,,
2000-08-16,,,,,,4.928484011114061,104.73835,943.348964,,
2000-08-17,,,,,,4.93564609733394,104.73835,946.565784,,
2000-08-18,,,,,,4.891640665514119,104.73835,951.610979,,
2000-08-21,,,,,,4.873221983475428,104.73835,956.140647,,
2000-08-22,,,,,,4.887547415183093,104.73835,950.719329,,
2000-08-23,,,,,,4.834333586794856,104.73835,947.743579,,
2000-08-24,,,,,,4.800561280802604,104.73835,942.635241,,
2000-08-25,,,,,,4.793399509399703,104.73835,947.744324,,
2000-08-28,,,,,,4.800561280802604,104.73835,948.597294,,
2000-08-29,,,,,,4.756559311969528,104.73835,952.970326,,
2000-08-30,,,,,,4.78112070285755,104.73835,954.171069,,
2000-08-31,,,,,,4.811822913693044,106.12602,957.787377,,
2000-09-01,,,,,,4.7831666983891115,106.12602,960.957654,,
2000-09-04,,,,,,4.7831666983891115,106.12602,961.351646,,
2000-09-05,,,,,,4.8138663906887915,106.12602,968.321446,,
2000-09-06,,,,,,4.851731317378118,106.12602,978.721218,,
2000-09-07,,,,,,4.846613022970962,106.12602,976.89101,,
2000-09-08,,,,,,4.938715562856746,106.12602,968.606974,,
2000-09-11,,,,,,4.9673673707230055,106.12602,973.072253,,
2000-09-12,,,,,,4.989884025347376,106.12602,970.221152,,
2000-09-13,,,,,,4.977604589171271,106.12602,970.298769,,
2000-09-14,,,,,,4.96941777369224,106.12602,969.483718,,
2000-09-15,,,,,,4.973511338840244,106.12602,974.360221,,
2000-09-18,,,,,,4.905972708378297,106.12602,974.126375,,
2000-09-19,,,,,,4.921319091541394,106.12602,968.038085,,
2000-09-20,,,,,,4.91210943570507,106.12602,968.260734,,
2000-09-21,,,,,,4.908014926106137,106.12602,959.139717,,
2000-09-22,,,,,,4.908014926106137,106.12602,940.676278,,
2000-09-25,,,,,,4.9022846274962815,106.12602,937.957723,,
2000-09-26,,,,,,4.921932669828979,106.12602,933.858848,,
2000-09-27,,,,,,4.951405835187444,106.12602,933.139776,,
2000-09-28,,,,,,4.971054507154094,106.12602,926.934397,,
2000-09-29,,,,,,4.961229384128327,106.12602,926.786087,,
2000-10-02,,,,,,4.915382272994823,106.12602,931.030768,,
2000-10-03,,,,,,4.853163104988141,106.12602,930.825941,,
2000-10-04,,,,,,4.784396058683119,106.12602,926.506909,,
2000-10-05,,,,,,4.807316308671615,106.12602,926.720005,,
2000-10-06,,,,,,4.797493389364684,106.12602,928.434437,,
2000-10-09,,,,,,4.794218033539119,106.12602,933.123031,,
2000-10-10,,,,,,4.797493389364684,106.12602,932.507169,,
2000-10-11,,,,,,4.761471716073925,106.12602,939.612873,,
2000-10-12,,,,,,4.686152698849863,106.12602,951.921802,,
2000-10-13,,,,,,4.695977507058654,106.12602,950.541515,,
2000-10-16,,,,,,4.754922263690699,106.12602,945.522656,,
2000-10-17,,,,,,4.689427739858452,106.12602,947.281328,,
2000-10-18,,,,,,4.667597071426307,106.12602,954.783796,,
2000-10-19,,,,,,4.704090025731184,106.12602,948.224432,,
2000-10-20,,,,,,4.687503893313852,106.12602,950.130364,,
2000-10-23,,,,,,4.651012513093859,106.12602,953.759862,,
2000-10-24,,,,,,4.611203276756446,106.12602,949.210426,,
2000-10-25,,,,,,4.594616199888182,106.12602,955.655565,,
2000-10-26,,,,,,4.607883846554142,106.12602,957.834459,,
2000-10-27,,,,,,4.664282363478653,106.12602,946.196771,,
2000-10-30,,,,,,4.68750389331385,106.12602,948.88397,,
2000-10-31,,,,,,4.680871644065754,105.10722,942.906001,,
2000-11-01,,,,,,4.700772799247717,105.10722,937.804879,,
2000-11-02,,,,,,4.717360190932957,105.10722,937.167171,,
2000-11-03,,,,,,4.704090025731184,105.10722,925.72436,,
2000-11-06,,,,,,4.717360190932957,105.10722,927.473979,,
2000-11-07,,,,,,4.723994329082913,105.10722,927.056616,,
2000-11-08,,,,,,4.74390178060441,105.10722,929.986114,,
2000-11-09,,,,,,4.707405992946744,105.10722,934.803442,,
2000-11-10,,,,,,4.670916816445588,105.10722,939.561591,,
2000-11-13,,,,,,4.674233413295101,105.10722,951.531606,,
2000-11-14,,,,,,4.720677417416424,105.10722,952.340408,,
2000-11-15,,,,,,4.7306278375989175,105.10722,960.301973,,
2000-11-16,,,,,,4.743901780604411,105.10722,963.768664,,
2000-11-17,,,,,,4.722668319977062,105.10722,966.852722,,
2000-11-20,,,,,,4.717360190932958,105.10722,978.232579,,
2000-11-21,,,,,,4.723994329082914,105.10722,981.059671,,
2000-11-22,,,,,,4.704090025731184,105.10722,991.203828,,
2000-11-23,,,,,,4.704090025731184,105.10722,991.441717,,
2000-11-24,,,,,,4.704090025731184,105.10722,996.448498,,
2000-11-27,,,,,,4.710722904613234,105.10722,982.308893,,
2000-11-28,,,,,,4.7273134444682405,105.10722,979.352144,,
2000-11-29,,,,,,4.733946638167267,105.10722,994.708385,,
2000-11-30,,,,,,4.777073415805123,107.93303,1006.535468,,
2000-12-01,,,,,,4.780390012654636,107.93303,998.241616,,
2000-12-04,,,,,,4.796976774705922,107.93303,999.758943,,
2000-12-05,,,,,,4.796976774705922,107.93303,1006.377347,,
2000-12-06,,,,,,4.896500180366431,107.93303,1012.174081,,
2000-12-07,,,,,,4.876594302929818,107.93303,1016.627647,,
2000-12-08,,,,,,4.923039881136024,107.93303,1010.944698,,
2000-12-11,,,,,,4.959530631722063,107.93303,996.852129,,
2000-12-12,,,,,,4.98275216155726,107.93303,999.314354,,
2000-12-13,,,,,,4.976118653041257,107.93303,1011.28614,,
2000-12-14,,,,,,4.949579896722594,107.93303,1026.425093,,
2000-12-15,,,,,,4.97280142655779,107.93303,1040.271568,,
2000-12-18,,,,,,5.059051204029781,107.93303,1038.627939,,
2000-12-19,,,,,,5.062370949049061,107.93303,1041.349144,,
2000-12-20,,,,,,5.0264613506020055,107.93303,1069.22606,,
2000-12-21,,,,,,5.039913165199334,107.93303,1078.763557,,
2000-12-22,,,,,,5.019739693332527,107.93303,1084.146587,,
2000-12-25,,,,,,5.019739693332527,107.93303,1083.734611,,
2000-12-26,,,,,,5.016375559119533,107.93303,1090.616326,,
2000-12-27,,,,,,5.0768937710011155,107.93303,1089.220337,,
2000-12-28,,,,,,5.150863482663049,107.93303,1083.915834,,
2000-12-29,,,,,,5.107156812154116,107.93303,1095.622125,,
2001-01-01,,,,,,5.107156812154116,107.93303,1095.622125,,
2001-01-02,,,,,,5.0634488823772745,107.93303,1116.044522,,
2001-01-03,,,,,,5.123965520173973,107.93303,1099.739111,,
2001-01-04,,,,,,5.090344011513559,107.93303,1120.810113,,
2001-01-05,,,,,,5.0331871004921815,107.93303,1134.831447,,
2001-01-08,,,,,,5.026461350602005,107.93303,1131.256728,,
2001-01-09,,,,,,5.049998327047853,107.93303,1127.478331,,
2001-01-10,,,,,,5.0264613506020055,107.93303,1114.004964,,
2001-01-11,,,,,,5.033187100492182,107.93303,1128.063707,,
2001-01-12,,,,,,5.039913165199335,107.93303,1118.712059,,
2001-01-15,,,,,,5.039913165199335,107.93303,1116.541758,,
2001-01-16,,,,,,5.043272262340703,107.93303,1109.842507,,
2001-01-17,,,,,,5.064792206416848,107.93303,1111.37409,,
2001-01-18,,,,,,5.049998327047856,107.93303,1120.820769,,
2001-01-19,,,,,,5.070170854463733,107.93303,1106.821718,,
2001-01-22,,,,,,5.063448882377278,107.93303,1103.136002,,
2001-01-23,,,,,,5.1105159092954855,107.93303,1103.797882,,
2001-01-24,,,,,,5.127326191400228,107.93303,1096.556968,,
2001-01-25,,,,,,5.13405225610738,107.93303,1092.302327,,
2001-01-26,,,,,,5.130689066345316,107.93303,1097.163074,,
2001-01-29,,,,,,5.13405225610738,107.93303,1092.818308,,
2001-01-30,,,,,,5.154226357608139,107.93303,1094.708882,,
2001-01-31,,,,,,5.130689066345315,115.98538,1103.784019,,
2001-02-01,,,,,,5.134052256107379,115.98538,1106.444138,,
2001-02-02,,,,,,5.113878784240573,115.98538,1096.696366,,
2001-02-05,,,,,,5.117241029551708,115.98538,1098.23174,,
2001-02-06,,,,,,5.103790789039263,115.98538,1091.587439,,
2001-02-07,,,,,,5.073532155323937,115.98538,1100.036324,,
2001-02-08,,,,,,5.070170854463733,115.98538,1093.997125,,
2001-02-09,,,,,,5.0217542071664205,115.98538,1105.035556,,
2001-02-12,,,,,,5.019066614636349,115.98538,1105.654376,,
2001-02-13,,,,,,5.024447781219047,115.98538,1096.643292,,
2001-02-14,,,,,,5.039239142052226,115.98538,1089.745405,,
2001-02-15,,,,,,5.057394951915375,115.98538,1077.725513,,
2001-02-16,,,,,,5.046636711370675,115.98538,1083.879325,,
2001-02-19,,,,,,5.046636711370675,115.98538,1086.328893,,
2001-02-20,,,,,,5.041255859604953,115.98538,1084.319185,,
2001-02-21,,,,,,5.002253499178817,115.98538,1086.433607,,
2001-02-22,,,,,,4.942407421542484,115.98538,1084.152098,,
2001-02-23,,,,,,4.96325302765454,115.98538,1087.382871,,
2001-02-26,,,,,,4.986113462417463,115.98538,1090.677641,,
2001-02-27,,,,,,5.039239142052224,115.98538,1097.832487,,
2001-02-28,,,,,,5.060084118530327,116.62309,1105.209922,,
2001-03-01,,,,,,5.067479798946916,116.62309,1112.9906,,
2001-03-02,,,,,,5.124638598870154,116.62309,1115.661777,,
2001-03-05,,,,,,5.117241029551705,116.62309,1111.980093,,
2001-03-06,,,,,,5.099758298384736,116.62309,1112.891917,,
2001-03-07,,,,,,5.137415131052466,116.62309,1120.392808,,
2001-03-08,,,,,,5.147499663267031,116.62309,1121.961357,,
2001-03-09,,,,,,5.137385223439678,116.62309,1118.808646,,
2001-03-12,,,,,,5.0699489084951574,116.62309,1129.840099,,
2001-03-13,,,,,,5.076020468707755,116.62309,1127.128483,,
2001-03-14,,,,,,5.028137436185946,116.62309,1145.016012,,
2001-03-15,,,,,,5.017347399126599,116.62309,1154.679947,,
2001-03-16,,,,,,4.983627982386433,116.62309,1163.005189,,
2001-03-19,,,,,,5.027461838953953,116.62309,1161.923595,,
2001-03-20,,,,,,5.074668644609815,116.62309,1157.380473,,
2001-03-21,,,,,,4.982950811069556,116.62309,1167.310798,,
2001-03-22,,,,,,4.937100866583263,116.62309,1181.073392,,
2001-03-23,,,,,,4.952607806404475,116.62309,1162.84943,,
2001-03-26,,,,,,5.038927473245294,116.62309,1155.849076,,
2001-03-27,,,,,,5.037575963964329,116.62309,1143.134736,,
2001-03-28,,,,,,5.020718144496106,116.62309,1145.729651,,
2001-03-29,,,,,,5.037575963964329,116.62309,1150.507343,,
2001-03-30,,,,,,5.0537644825400925,116.62309,1164.221391,,
2001-04-02,,,,,,5.078040649247226,116.62309,1163.16195,,
2001-04-03,,,,,,5.024092038035377,116.62309,1160.521573,,
2001-04-04,,,,,,5.019371357469791,116.62309,1156.506169,,
2001-04-05,,,,,,5.098272991888675,116.62309,1145.345884,,
2001-04-06,,,,,,5.047691348242611,116.62309,1149.904361,,
2001-04-09,,,,,,5.0584848482887015,116.62309,1151.675213,,
2001-04-10,,,,,,5.078040649247226,116.62309,1137.71691,,
2001-04-11,,,,,,4.977559570343603,116.62309,1129.286427,,
2001-04-12,,,,,,4.969465940689674,116.62309,1117.846756,,
2001-04-13,,,,,,4.969465940689674,116.62309,1118.059147,,
2001-04-16,,,,,,5.016671487077629,116.62309,1117.600743,,
2001-04-17,,,,,,5.034881130643795,116.62309,1116.639606,,
2001-04-18,,,,,,5.098272991888676,116.62309,1112.217713,,
2001-04-19,,,,,,5.119852121556438,116.62309,1105.232986,,
2001-04-20,,,,,,5.099621667816849,116.62309,1105.343509,,
2001-04-23,,,,,,5.057809565873685,116.62309,1104.790838,,
2001-04-24,,,,,,5.083433778875039,116.62309,1107.552815,,
2001-04-25,,,,,,5.08748106592747,116.62309,1105.548145,,
2001-04-26,,,,,,5.160311454950733,116.62309,1105.736088,,
2001-04-27,,,,,,5.231122607885457,116.62309,1113.432012,,
2001-04-30,,,,,,5.216961825456605,118.13231,1114.489773,,
2001-05-01,,,,,,5.223704575463523,118.13231,1109.307394,,
2001-05-02,,,,,,5.212915797672082,118.13231,1106.323358,,
2001-05-03,,,,,,5.21628717267554,118.13231,1105.327667,,
2001-05-04,,,,,,5.192010061517475,118.13231,1101.989578,,
2001-05-07,,,,,,5.1825683855693265,118.13231,1104.237636,,
2001-05-08,,,,,,5.145477279008724,118.13231,1106.368814,,
2001-05-09,,,,,,5.166384904065191,118.13231,1108.21645,,
2001-05-10,,,,,,5.175150038330416,118.13231,1105.889195,,
2001-05-11,,,,,,5.17110432536287,118.13231,1112.756767,,
2001-05-14,,,,,,5.169082255921539,118.13231,1117.141028,,
