Date,Daily ROR,Index Value
05/17/2022,0.30%,1377.98
05/16/2022,-0.08%,1373.84
05/13/2022,0.29%,1374.92
05/12/2022,-0.38%,1370.98
05/11/2022,-0.14%,1376.26
05/10/2022,-0.60%,1378.25
05/09/2022,-0.54%,1386.6
05/06/2022,-0.09%,1394.08
05/05/2022,-0.08%,1395.35
05/04/2022,0.07%,1396.44
05/03/2022,-0.33%,1395.43
05/02/2022,0.08%,1400.03
04/29/2022,-0.20%,1398.84
04/28/2022,0.16%,1401.59
04/27/2022,-0.03%,1399.35
04/26/2022,-0.27%,1399.82
04/25/2022,-0.27%,1403.55
04/22/2022,-0.29%,1407.3
04/21/2022,-0.22%,1411.35
04/20/2022,-0.01%,1414.43
04/19/2022,0.02%,1414.61
04/14/2022,-0.02%,1414.34
04/13/2022,0.25%,1414.69
04/12/2022,-0.10%,1411.21
04/11/2022,-0.06%,1412.64
04/08/2022,0.02%,1413.47
04/07/2022,-0.09%,1413.16
04/06/2022,-0.16%,1414.46
04/05/2022,0.00%,1416.79
04/04/2022,0.16%,1416.81
04/01/2022,0.21%,1414.54
03/31/2022,-0.15%,1411.54
03/30/2022,-0.10%,1413.6
03/29/2022,0.28%,1415.06
03/28/2022,0.09%,1411.17
03/25/2022,0.09%,1409.94
03/24/2022,0.12%,1408.64
03/23/2022,-0.05%,1406.97
03/22/2022,0.33%,1407.61
03/21/2022,0.16%,1402.99
03/18/2022,0.33%,1400.75
03/17/2022,0.27%,1396.14
03/16/2022,0.17%,1392.36
03/15/2022,-0.08%,1389.95
03/14/2022,-0.21%,1391.06
03/11/2022,-0.15%,1394.05
03/10/2022,-0.02%,1396.1
03/09/2022,0.50%,1396.33
03/08/2022,-0.16%,1389.39
03/07/2022,-0.48%,1391.59
03/04/2022,-0.34%,1398.24
03/03/2022,0.07%,1403.01
03/02/2022,0.15%,1401.97
03/01/2022,-0.35%,1399.87
02/28/2022,-0.25%,1404.79
02/25/2022,0.50%,1408.34
02/24/2022,-0.29%,1401.33
02/23/2022,-0.19%,1405.36
02/22/2022,-0.15%,1408
02/21/2022,-0.09%,1410.18
02/18/2022,-0.15%,1411.49
02/17/2022,-0.23%,1413.55
02/16/2022,0.03%,1416.76
02/15/2022,0.31%,1416.36
02/14/2022,-0.27%,1411.97
02/11/2022,-0.22%,1415.82
02/10/2022,-0.04%,1418.97
02/09/2022,0.34%,1419.5
02/08/2022,0.18%,1414.68
02/07/2022,0.04%,1412.18
02/04/2022,-0.03%,1411.69
02/03/2022,-0.27%,1412.14
02/02/2022,0.17%,1416.03
02/01/2022,0.26%,1413.58
01/31/2022,0.35%,1409.87
01/28/2022,0.27%,1404.98
01/27/2022,-0.03%,1401.19
01/26/2022,0.14%,1401.65
01/25/2022,-0.25%,1399.73
01/24/2022,-0.29%,1403.21
01/21/2022,-0.41%,1407.23
01/20/2022,-0.12%,1412.97
01/19/2022,-0.12%,1414.63
01/18/2022,-0.33%,1416.26
01/17/2022,0.06%,1420.96
01/14/2022,-0.09%,1420.09
01/13/2022,-0.19%,1421.4
01/12/2022,0.08%,1424.09
01/11/2022,0.17%,1423.01
01/10/2022,-0.18%,1420.63
