,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2006-07-03,137.71695871021336,,,1206.24,,12.611255084060351,264.80163,1568.178008,,62.18000030517578
2006-07-04,137.71695871021336,,,1206.24,,12.611255084060351,264.80163,1567.252783,,62.18000030517578
2006-07-05,137.04485270741066,,,1202.65,,12.600830862828085,264.80163,1582.42379,,62.5
2006-07-06,137.45631709773573,,,1203.25,,12.639079871732276,264.80163,1581.047081,,63.02000045776367
2006-07-07,137.09037679672474,,,1201.32,,12.586919728260211,264.80163,1571.877008,,62.630001068115234
2006-07-10,137.28706911881648,,,1201.06,,12.717309383161625,264.80163,1566.564064,,62.02000045776367
2006-07-11,137.711662115982,,,1200.87,,12.713826247630283,264.80163,1564.229883,,63.810001373291016
2006-07-12,136.87879238762756,,,1198.92,,12.769460711757077,264.80163,1569.329273,,64.91999816894531
2006-07-13,135.67458411896752,,,1193.25,,12.57127080373093,264.80163,1566.300467,,65.55000305175781
2006-07-14,135.40485293865862,,,1190.5,,12.402633399193412,264.80163,1563.465463,,65.8499984741211
2006-07-17,135.2401936536307,,,1186.59,,12.39394319011829,264.80163,1558.41547,,63.95000076293945
2006-07-18,135.435314788088,,,1184.84,,12.541714522438038,264.80163,1557.4025,,62.900001525878906
2006-07-19,136.89972897056919,,,1190.79,,12.840746618949325,264.80163,1548.307269,,64.02999877929688
2006-07-20,136.45950259576878,,,1189.15,,12.682537213448338,264.80163,1545.597732,,62.540000915527344
2006-07-21,135.85515633090552,,,1185.22,,12.44609955578609,264.80163,1541.486442,47.01285615980929,61.709999084472656
2006-07-24,137.3190598691483,,,1189.49,,12.663417746068596,264.80163,1544.153213,47.44241597990831,61.13999938964844
2006-07-25,137.55560928020662,,,1193.21,,12.750338725841159,264.80163,1545.064264,47.01285615980928,61.54999923706055
2006-07-26,137.80303118103737,,,1194.58,,12.80423288147037,264.80163,1544.245378,47.36604817126068,62.0
2006-07-27,137.7185384753589,,,1194.3,,12.708611618477978,264.80163,1541.651046,47.87197580000733,62.900001525878906
2006-07-28,138.69232033851102,,,1197.49,,12.898110058160912,264.80163,1534.127789,47.29922815940278,63.11000061035156
2006-07-31,138.69738628635133,,,1197.24,,12.83900379191557,265.63937,1535.539186,48.44471979919434,63.15999984741211
2006-08-01,138.30242301175429,,,1196.58,,12.778155957904556,265.63937,1539.22448,48.44471979919434,64.31999969482422
2006-08-02,138.90771259277642,,,1199.24,,12.778155957904556,265.63937,1540.240368,49.24656358290667,64.75
2006-08-03,139.1417854952161,,,1199.24,,12.915501809723951,265.63937,1540.640831,48.463811751356246,64.12000274658203
2006-08-04,139.2751237893774,,,1199.32,,13.108473310793524,265.63937,1541.67306,48.30153197868882,64.27999877929688
